,Position,PositionText,Points,DriverId,GivenName,FamilyName,Race,Race_name
0,1,1,25,max_verstappen,Max,Verstappen,1.0,Bahrain Grand Prix
4,2,2,18,perez,Sergio,Pérez,1.0,Bahrain Grand Prix
5,3,3,15,alonso,Fernando,Alonso,1.0,Bahrain Grand Prix
6,4,4,12,sainz,Carlos,Sainz,1.0,Bahrain Grand Prix
7,5,5,10,hamilton,Lewis,Hamilton,1.0,Bahrain Grand Prix
8,6,6,8,stroll,Lance,Stroll,1.0,Bahrain Grand Prix
9,7,7,6,russell,George,Russell,1.0,Bahrain Grand Prix
10,8,8,4,bottas,Valtteri,Bottas,1.0,Bahrain Grand Prix
11,9,9,2,gasly,Pierre,Gasly,1.0,Bahrain Grand Prix
12,10,10,1,albon,Alexander,Albon,1.0,Bahrain Grand Prix
13,11,11,0,tsunoda,Yuki,Tsunoda,1.0,Bahrain Grand Prix
14,12,12,0,sargeant,Logan,Sargeant,1.0,Bahrain Grand Prix
15,13,13,0,kevin_magnussen,Kevin,Magnussen,1.0,Bahrain Grand Prix
16,14,14,0,de_vries,Nyck,de Vries,1.0,Bahrain Grand Prix
17,15,15,0,hulkenberg,Nico,Hülkenberg,1.0,Bahrain Grand Prix
18,16,16,0,zhou,Guanyu,Zhou,1.0,Bahrain Grand Prix
19,17,17,0,norris,Lando,Norris,1.0,Bahrain Grand Prix
20,18,R,0,ocon,Esteban,Ocon,1.0,Bahrain Grand Prix
21,19,R,0,leclerc,Charles,Leclerc,1.0,Bahrain Grand Prix
22,20,R,0,piastri,Oscar,Piastri,1.0,Bahrain Grand Prix
23,1,1,25,perez,Sergio,Pérez,2.0,Saudi Arabian Grand Prix
24,2,2,19,max_verstappen,Max,Verstappen,2.0,Saudi Arabian Grand Prix
25,3,3,15,alonso,Fernando,Alonso,2.0,Saudi Arabian Grand Prix
26,4,4,12,russell,George,Russell,2.0,Saudi Arabian Grand Prix
27,5,5,10,hamilton,Lewis,Hamilton,2.0,Saudi Arabian Grand Prix
28,6,6,8,sainz,Carlos,Sainz,2.0,Saudi Arabian Grand Prix
29,7,7,6,leclerc,Charles,Leclerc,2.0,Saudi Arabian Grand Prix
30,8,8,4,ocon,Esteban,Ocon,2.0,Saudi Arabian Grand Prix
31,9,9,2,gasly,Pierre,Gasly,2.0,Saudi Arabian Grand Prix
32,10,10,1,kevin_magnussen,Kevin,Magnussen,2.0,Saudi Arabian Grand Prix
33,11,11,0,tsunoda,Yuki,Tsunoda,2.0,Saudi Arabian Grand Prix
34,12,12,0,hulkenberg,Nico,Hülkenberg,2.0,Saudi Arabian Grand Prix
35,13,13,0,zhou,Guanyu,Zhou,2.0,Saudi Arabian Grand Prix
36,14,14,0,de_vries,Nyck,de Vries,2.0,Saudi Arabian Grand Prix
