Position,PositionText,Points,DriverId,GivenName,FamilyName,Race,Race_name
1,1,25,max_verstappen,Max,Verstappen,1,Bahrain Grand Prix
1,1,25,max_verstappen,Max,Verstappen,1,Bahrain Grand Prix
1,1,25,max_verstappen,Max,Verstappen,,Bahrain Grand Prix
1,1,25,max_verstappen,Max,Verstappen,,Bahrain Grand Prix
2,2,18,perez,Sergio,Pérez,1,Bahrain Grand Prix
3,3,15,alonso,Fernando,Alonso,1,Bahrain Grand Prix
4,4,12,sainz,Carlos,Sainz,1,Bahrain Grand Prix
5,5,10,hamilton,Lewis,Hamilton,1,Bahrain Grand Prix
6,6,8,stroll,Lance,Stroll,1,Bahrain Grand Prix
7,7,6,russell,George,Russell,1,Bahrain Grand Prix
8,8,4,bottas,Valtteri,Bottas,1,Bahrain Grand Prix
9,9,2,gasly,Pierre,Gasly,1,Bahrain Grand Prix
10,10,1,albon,Alexander,Albon,1,Bahrain Grand Prix
11,11,0,tsunoda,Yuki,Tsunoda,1,Bahrain Grand Prix
12,12,0,sargeant,Logan,Sargeant,1,Bahrain Grand Prix
13,13,0,kevin_magnussen,Kevin,Magnussen,1,Bahrain Grand Prix
14,14,0,de_vries,Nyck,de Vries,1,Bahrain Grand Prix
15,15,0,hulkenberg,Nico,Hülkenberg,1,Bahrain Grand Prix
16,16,0,zhou,Guanyu,Zhou,1,Bahrain Grand Prix
17,17,0,norris,Lando,Norris,1,Bahrain Grand Prix
18,R,0,ocon,Esteban,Ocon,1,Bahrain Grand Prix
19,R,0,leclerc,Charles,Leclerc,1,Bahrain Grand Prix
20,R,0,piastri,Oscar,Piastri,1,Bahrain Grand Prix
1,1,25,perez,Sergio,Pérez,2,Saudi Arabian Grand Prix
2,2,19,max_verstappen,Max,Verstappen,2,Saudi Arabian Grand Prix
3,3,15,alonso,Fernando,Alonso,2,Saudi Arabian Grand Prix
4,4,12,russell,George,Russell,2,Saudi Arabian Grand Prix
5,5,10,hamilton,Lewis,Hamilton,2,Saudi Arabian Grand Prix
6,6,8,sainz,Carlos,Sainz,2,Saudi Arabian Grand Prix
7,7,6,leclerc,Charles,Leclerc,2,Saudi Arabian Grand Prix
8,8,4,ocon,Esteban,Ocon,2,Saudi Arabian Grand Prix
9,9,2,gasly,Pierre,Gasly,2,Saudi Arabian Grand Prix
10,10,1,kevin_magnussen,Kevin,Magnussen,2,Saudi Arabian Grand Prix
11,11,0,tsunoda,Yuki,Tsunoda,2,Saudi Arabian Grand Prix
12,12,0,hulkenberg,Nico,Hülkenberg,2,Saudi Arabian Grand Prix
13,13,0,zhou,Guanyu,Zhou,2,Saudi Arabian Grand Prix
14,14,0,de_vries,Nyck,de Vries,2,Saudi Arabian Grand Prix
15,15,0,piastri,Oscar,Piastri,2,Saudi Arabian Grand Prix
16,16,0,sargeant,Logan,Sargeant,2,Saudi Arabian Grand Prix
17,17,0,norris,Lando,Norris,2,Saudi Arabian Grand Prix
18,18,0,bottas,Valtteri,Bottas,2,Saudi Arabian Grand Prix
19,R,0,albon,Alexander,Albon,2,Saudi Arabian Grand Prix
20,R,0,stroll,Lance,Stroll,2,Saudi Arabian Grand Prix
1,1,25,max_verstappen,Max,Verstappen,3,Australian Grand Prix
2,2,18,hamilton,Lewis,Hamilton,3,Australian Grand Prix
3,3,15,alonso,Fernando,Alonso,3,Australian Grand Prix
