,Position,PositionText,Points,DriverId,GivenName,FamilyName,Race,Race_name
0,1,1,25,max_verstappen,Max,Verstappen,1.0,Bahrain Grand Prix
1,1,1,25,max_verstappen,Max,Verstappen,999.0,Bahrain Grand Prix
2,1,1,25,max_verstappen,Max,Verstappen,999.0,Bahrain Grand Prix
3,2,2,18,perez,Sergio,Pérez,1.0,Bahrain Grand Prix
4,3,3,15,alonso,Fernando,Alonso,1.0,Bahrain Grand Prix
5,4,4,12,sainz,Carlos,Sainz,1.0,Bahrain Grand Prix
6,5,5,10,hamilton,Lewis,Hamilton,1.0,Bahrain Grand Prix
7,6,6,8,stroll,Lance,Stroll,1.0,Bahrain Grand Prix
8,7,7,6,russell,George,Russell,1.0,Bahrain Grand Prix
9,8,8,4,bottas,Valtteri,Bottas,1.0,Bahrain Grand Prix
10,9,9,2,gasly,Pierre,Gasly,1.0,Bahrain Grand Prix
11,10,10,1,albon,Alexander,Albon,1.0,Bahrain Grand Prix
12,11,11,0,tsunoda,Yuki,Tsunoda,1.0,Bahrain Grand Prix
13,12,12,0,sargeant,Logan,Sargeant,1.0,Bahrain Grand Prix
14,13,13,0,kevin_magnussen,Kevin,Magnussen,1.0,Bahrain Grand Prix
15,14,14,0,de_vries,Nyck,de Vries,1.0,Bahrain Grand Prix
16,15,15,0,hulkenberg,Nico,Hülkenberg,1.0,Bahrain Grand Prix
17,16,16,0,zhou,Guanyu,Zhou,1.0,Bahrain Grand Prix
18,17,17,0,norris,Lando,Norris,1.0,Bahrain Grand Prix
19,18,R,0,ocon,Esteban,Ocon,1.0,Bahrain Grand Prix
20,19,R,0,leclerc,Charles,Leclerc,1.0,Bahrain Grand Prix
21,20,R,0,piastri,Oscar,Piastri,1.0,Bahrain Grand Prix
22,1,1,25,perez,Sergio,Pérez,2.0,Saudi Arabian Grand Prix
23,2,2,19,max_verstappen,Max,Verstappen,2.0,Saudi Arabian Grand Prix
24,3,3,15,alonso,Fernando,Alonso,2.0,Saudi Arabian Grand Prix
25,4,4,12,russell,George,Russell,2.0,Saudi Arabian Grand Prix
26,5,5,10,hamilton,Lewis,Hamilton,2.0,Saudi Arabian Grand Prix
27,6,6,8,sainz,Carlos,Sainz,2.0,Saudi Arabian Grand Prix
28,7,7,6,leclerc,Charles,Leclerc,2.0,Saudi Arabian Grand Prix
29,8,8,4,ocon,Esteban,Ocon,2.0,Saudi Arabian Grand Prix
30,9,9,2,gasly,Pierre,Gasly,2.0,Saudi Arabian Grand Prix
31,10,10,1,kevin_magnussen,Kevin,Magnussen,2.0,Saudi Arabian Grand Prix
32,11,11,0,tsunoda,Yuki,Tsunoda,2.0,Saudi Arabian Grand Prix
33,12,12,0,hulkenberg,Nico,Hülkenberg,2.0,Saudi Arabian Grand Prix
34,13,13,0,zhou,Guanyu,Zhou,2.0,Saudi Arabian Grand Prix
35,14,14,0,de_vries,Nyck,de Vries,2.0,Saudi Arabian Grand Prix
36,15,15,0,piastri,Oscar,Piastri,2.0,Saudi Arabian Grand Prix
