,Position,PositionText,Points,DriverId,GivenName,FamilyName,Race,Race_name
0,1,1,25,max_verstappen,Max,Verstappen,1.0,Bahrain Grand Prix
23,1,1,25,perez,Sergio,Pérez,2.0,Saudi Arabian Grand Prix
43,1,1,25,max_verstappen,Max,Verstappen,3.0,Australian Grand Prix
79,1,1,25,perez,Sergio,Pérez,4.0,Azerbaijan Grand Prix
99,1,1,26,max_verstappen,Max,Verstappen,5.0,Miami Grand Prix
119,1,1,25,max_verstappen,Max,Verstappen,6.0,Monaco Grand Prix
139,1,1,26,max_verstappen,Max,Verstappen,7.0,Spanish Grand Prix
159,1,1,25,max_verstappen,Max,Verstappen,8.0,Canadian Grand Prix
179,1,1,26,max_verstappen,Max,Verstappen,9.0,Austrian Grand Prix
199,1,1,26,max_verstappen,Max,Verstappen,10.0,British Grand Prix
219,1,1,26,max_verstappen,Max,Verstappen,11.0,Hungarian Grand Prix
239,1,1,25,max_verstappen,Max,Verstappen,12.0,Belgian Grand Prix
259,1,1,25,max_verstappen,Max,Verstappen,13.0,Dutch Grand Prix
279,1,1,25,max_verstappen,Max,Verstappen,14.0,Italian Grand Prix
299,1,1,25,sainz,Carlos,Sainz,15.0,Singapore Grand Prix
319,1,1,26,max_verstappen,Max,Verstappen,16.0,Japanese Grand Prix
339,1,1,26,max_verstappen,Max,Verstappen,17.0,Qatar Grand Prix
359,1,1,25,max_verstappen,Max,Verstappen,18.0,United States Grand Prix
379,1,1,25,max_verstappen,Max,Verstappen,19.0,Mexico City Grand Prix
399,1,1,25,max_verstappen,Max,Verstappen,20.0,São Paulo Grand Prix
419,1,1,25,max_verstappen,Max,Verstappen,21.0,Las Vegas Grand Prix
439,1,1,26,max_verstappen,Max,Verstappen,22.0,Abu Dhabi Grand Prix
